Description,Desconhecido, Values
Description,Se Pagar Larissa, Values,
Description,Se Pagar Matheus, Values ,
Description,Abundar, Values ,
Description,Salário, Values ,
Description,Sonhos, Values ,
Description,Investimentos, Values ,
Description,Padaria, Values , Sabor de minas ,Panificadora,Pao da casa,Pao nosso mix,Sabor de minas,Tres poderes, Belligran brasilia bra, Pao da hora, Pão da casa
Description,Gasolina, Values , Cascol ,Auto posto de combusti,Drive car pos planalto,Uber,Pag*cascol,
Description,Mercado, Values , Atacadao dia a dia ,Sobradinho carnes,Super gente boa,Supermercado jm ,Supermercado paraiba,Ultrabox,Pag*ademarornelas
Description,Água, Values , Debito aut. conta agua e esgoto caesb ,,,,,
Description,Luz, Values , Pagamento conta luz,
Description,Internet, Values , Debito autom mensalidade tv a cabo net servicos ,,,,,
Description,Netflix e afins, Values , Dm *helpmaxcom ,spotify,Google storage,melimais,Netflix,Tim*mais
Description,Remédios, Values , Drogaria ,Matsumoto servicos, Preco justo farma,Vivaz,,
Description,Saidas, Values , Frutos do goias ,Mini kalzone, Restaurante mangai,Tony lanches,Subway brasilia bra,
Description,Contas da casa, Values , Loteriason , Pag*dluxpapelariae,,,,
Description,Sacolão, Values , Marco aurelio gomes ,niutonferreira,,,,
Description,Selfcare, Values , principiaes ,,,,,
Description,Dízimo, Values , igreja evangelica assembl ,,,,,
Description,Ração cachorros, Values , nilton pereira santana ,,,,,
Description,Aluguel, Values , zigui frid schemberg alve ,,,,,
Description,Consórcio, Values , consorcio pgto eventuais ,,,,,
Description,Gympass, Values , Gympass gympassbr,
Description,Suplementos, Values , Growth suplements,
Description,INSS Núbia, Values , ,
Description,Empréstimos, Values , ,
